fineAGE,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
3.83,8.821823066712435,44.2366154192743,5.932482753430557,2.6728571484933945,4.315156951234235,1.2122424509912892,2.7751497626009543,0.9072638919554485,0.7706233761590479,2.939690314246631,8.279420455962947,43.72635086587486,5.804751872872387,3.0610331489197127,4.392248787411732,1.3015767627483295,2.9442045493669045,1.0912716004584748,0.6135738941155365,3.0840879568941166
3.92,8.842066512052947,44.1400702460219,5.922510848435602,2.668994188929767,4.319389264928119,1.216836650409812,2.7764159329598073,0.9086056412343486,0.770874513046043,2.9371725488133,8.29722571384171,43.62187109638298,5.794650855331705,3.058447050885056,4.397821444070824,1.3049713684918718,2.9458215786241473,1.0903724618242607,0.614177593447839,3.0806339272737313
4,8.861041087967841,44.05975151424023,5.914471137673333,2.6663001980639907,4.3236848768707015,1.2211861376384008,2.7779131684569247,0.9099172499096391,0.7708777818552257,2.9349545358781404,8.314172513519683,43.533940438179386,5.7863048851236965,3.056622156952364,4.403080666217817,1.308128734954431,2.9474777560093006,1.0896256252476524,0.6145934022854797,3.077360823674121
4.08,8.8809383954393315,43.98460850010397,5.9072071490652345,2.6643024434039173,4.328482658531682,1.2257857466666353,2.7797602869975178,0.9113408046080838,0.7706740257427539,2.9327553472096697,8.33217334029011,43.450659425162996,5.77855440861016,3.0552432487852195,4.408627652657641,1.3114178088381345,2.9493398797901076,1.0889281042144938,0.614895504966817,3.073896797676245
4.083,8.881702494481825,43.98189132095618,5.9069498397124605,2.6642410715741036,4.328672344114272,1.225963097655828,2.7798363602613705,0.9113963656092571,0.7706623576068572,2.9326732438254153,8.332868875414785,43.447626837303915,5.7782753499541775,3.0552002155457965,4.408841262563894,1.3115437112297006,2.949413715732866,1.0889029065171816,0.6149046218772952,3.073763182664046
4.17,8.904425818908503,43.9062592091987,5.899962392268527,2.6628871892509633,4.334480412641806,1.2312592805370386,2.782256514931089,0.9130761141246357,0.7701973406395584,2.930303760838917,8.353684162165798,43.3625260645324,5.770546923589105,3.0542250694575612,4.41521198065872,1.3152754484841385,2.951680939344571,1.0882023405377204,0.6150994560933648,3.0697715564994588
4.25,8.926283930937762,43.84211459505892,5.894346813238036,2.662368936528008,4.340345304954381,1.236390398389521,2.7848471349390675,0.9147375541222833,0.7695536565685713,2.92814457373716,8.373924796507705,43.28912554753884,5.76406187117632,3.0537938810422025,4.421370466220812,1.3188444006377746,2.953980699216143,1.0876096150343926,0.6151599331925569,3.065901820405269
4.33,8.949064774523617,43.78314569856456,5.889506956361712,2.6625469200107554,4.3467123669853525,1.2417716380416493,2.7877876379905215,0.9165109401430852,0.7687029475759298,2.9260042109020925,8.39521945794207,43.22037467573249,5.758172312458009,3.0538086783923903,4.427816716075736,1.3225450602125552,2.956486405483368,1.0870662050745146,0.6151067041354455,3.0618411619128145
4.42,8.975796176121445,43.72299229000642,5.884989347763255,2.663579371268475,4.354475561511718,1.248124506363933,2.791513923498811,0.9186398098972889,0.7674984404825435,2.9236188035939175,8.420435843814683,43.148587723963175,5.7522583599565795,3.054358417771731,4.4354127154188,1.3268657337610208,2.959551495335052,1.0865138163551813,0.6149109070562387,3.057044709179626
4.5,9.000537824265068,43.675021793508535,5.881797900464541,2.665236856688341,4.361909734194285,1.2540372548403091,2.79519792801765,0.9206510812172937,0.7662078035313865,2.9215184423255636,8.443970312820523,43.08971734817964,5.74763422533902,3.0553209348737047,4.442470464395992,1.3308462716057339,2.9624948376930416,1.0860752019251338,0.6146160524169824,3.0525783405908578
